id,name,artists,popularity,year,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,url
0440JCJyIAmINA8KcYgFb5,Fighting Demons,Juice WRLD,74,2020,1,200629,0.0813,0.7070000000000001,0.67,0.0,7,0.098,-6.327999999999999,0,0.257,163.099,0.235,https://open.spotify.com/track/0jo6Nd4iJU0UFHqS0Xd4l4
047fCsbO4NdmwCBn8pcUXl,Marvins Room,Drake,74,2011,1,347227,0.6459999999999999,0.4920000000000001,0.26,0.00178,9,0.0705,-17.340999999999998,0,0.0921,111.519,0.312,https://open.spotify.com/track/2z3htsNRuhDN923ITatc56
049Jkya24EvBHX1rUb96V8,Gravedigger,Dave Matthews,40,2003,0,234213,0.331,0.331,0.706,2.01e-06,9,0.1009999999999999,-5.8870000000000005,0,0.0528,170.08900000000003,0.414,https://open.spotify.com/track/049Jkya24EvBHX1rUb96V8
04B9ThftHDqviE4uaUJMf1,Since U Been Gone,Kelly Clarkson,52,2012,0,188987,0.00193,0.6609999999999999,0.76,0.0589,0,0.1159999999999999,-4.882,1,0.0334,131.0,0.425,https://open.spotify.com/track/6JY1IdkZGeIcPegKxjSKeb
04EtBLFIxbcVt9NdYgcrpF,Redneck,Lamb of God,62,2006,1,220880,5.629999999999999e-05,0.512,0.996,0.000167,2,0.347,-2.1,1,0.114,130.931,0.0601,https://open.spotify.com/track/04EtBLFIxbcVt9NdYgcrpF
04F42oEuKrRComYJfJuyVR,Backyard Boy,Claire Rosinkranz,79,2020,0,129241,0.3229999999999999,0.8170000000000001,0.635,0.0,5,0.0738,-7.246,1,0.163,138.015,0.4539999999999999,https://open.spotify.com/track/0QpOqKz66ZxHNqj2PPHiFF
04FTCJKkMcFkTdGR7qC1Tm,wAnt me back,Lindsay Ell,69,2020,0,193040,0.1669999999999999,0.54,0.695,6.24e-05,4,0.11,-4.16,1,0.0656,156.13299999999995,0.667,https://open.spotify.com/track/04FTCJKkMcFkTdGR7qC1Tm
04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,72,2002,1,228240,0.206,0.956,0.745,0.0,11,0.0615,-4.753,0,0.12,107.075,0.912,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY
04NMCxLqlXuyONlkdH4rY2,"My Neck, My Back",Khia,50,2002,1,222333,0.0375,0.8590000000000001,0.687,0.0,9,0.0542,-2.089,0,0.12,102.068,0.73,https://open.spotify.com/track/04NMCxLqlXuyONlkdH4rY2
04RcDL1mbjcVLMLqBOjkeX,Future Starts Slow,The Kills,48,2011,0,248200,0.0135,0.677,0.743,0.0022199999999999,6,0.0581,-5.876,1,0.0611,127.971,0.469,https://open.spotify.com/track/1wFm4lgH7pj7dnP8quW0Ch
